"","x"
"1",0.741553449632641
"2",0.288171489550756
"3",0.00629418403109522
"4",-2.08166817117217e-14
"5",-2.08166817117217e-14
"6",-2.08166817117217e-14
"7",-2.08166817117217e-14
"8",-2.08166817117217e-14
"9",0.0230435292403601
"10",-2.08166817117217e-14
"11",-2.08166817117217e-14
"12",-2.08166817117217e-14
"13",0.057407648871147
"14",0.995735969204608
"15",0.502838695458372
"16",10.6342653416679
"17",0.000580678149584612
"18",-2.08166817117217e-14
"19",-2.08166817117217e-14
"20",-2.08166817117217e-14
"21",0.191500747703342
"22",1.31461659675586
"23",0.00111441458576671
"24",-2.08166817117217e-14
"25",-2.08166817117217e-14
"26",-2.08166817117217e-14
"27",-2.08166817117217e-14
"28",-2.08166817117217e-14
"29",-2.08166817117217e-14
"30",-2.08166817117217e-14
"31",-2.08166817117217e-14
"32",-2.08166817117217e-14
"33",-2.08166817117217e-14
"34",15.8430796239679
"35",23.366716413634
"36",1.62000182814057
"37",1.41307249142813
"38",2.01875314371077
"39",-2.08166817117217e-14
"40",-2.08166817117217e-14
"41",1.26157838251509
"42",-2.08166817117217e-14
"43",1.36015988970264
"44",3.59446735969038
"45",1.32116711289202
"46",1.00286103985641
"47",0.0269849020264542
"48",0.00173429989537081
"49",-2.08166817117217e-14
"50",0.00125965962563456
"51",0.856621019531633
"52",0.0973836703856665
"53",-2.08166817117217e-14
"54",0.070982943591006
"55",0.0014591979368737
"56",0.206896163875584
"57",0.0173147321941865
"58",-2.08166817117217e-14
"59",-2.08166817117217e-14
"60",-2.08166817117217e-14
"61",0.00119196499672175
"62",-2.08166817117217e-14
"63",-2.08166817117217e-14
"64",-2.08166817117217e-14
"65",-2.08166817117217e-14
"66",-2.08166817117217e-14
"67",-2.08166817117217e-14
"68",0.000255711054370977
"69",0.035227508122923
"70",-2.08166817117217e-14
"71",-2.08166817117217e-14
"72",0.000255711054370977
"73",7.97658197323931
"74",0.378407280608975
"75",0.0231165688730256
"76",-2.08166817117217e-14
"77",-2.08166817117217e-14
"78",-2.08166817117217e-14
"79",-2.08166817117217e-14
"80",-2.08166817117217e-14
"81",-2.08166817117217e-14
"82",-2.08166817117217e-14
"83",-2.08166817117217e-14
"84",-2.08166817117217e-14
"85",-2.08166817117217e-14
"86",-2.08166817117217e-14
"87",-2.08166817117217e-14
"88",-2.08166817117217e-14
"89",-2.08166817117217e-14
"90",-2.08166817117217e-14
"91",-2.08166817117217e-14
"92",-2.08166817117217e-14
"93",-2.08166817117217e-14
"94",-2.08166817117217e-14
"95",-2.08166817117217e-14
"96",-2.08166817117217e-14
"97",-2.08166817117217e-14
"98",-2.08166817117217e-14
"99",-2.08166817117217e-14
"100",-2.08166817117217e-14
"101",-2.08166817117217e-14
"102",-2.08166817117217e-14
"103",-2.08166817117217e-14
"104",-2.08166817117217e-14
"105",-2.08166817117217e-14
"106",-2.08166817117217e-14
"107",-2.08166817117217e-14
"108",-2.08166817117217e-14
"109",-2.08166817117217e-14
"110",-2.08166817117217e-14
"111",0.642145132307512
"112",0.276376183150985
"113",-2.08166817117217e-14
"114",-2.08166817117217e-14
"115",-2.08166817117217e-14
"116",-2.08166817117217e-14
"117",0.170316659984515
"118",0.123372947623767
"119",0.155513931285724
"120",-2.08166817117217e-14
"121",-2.08166817117217e-14
"122",-2.08166817117217e-14
"123",-2.08166817117217e-14
"124",-2.08166817117217e-14
"125",-2.08166817117217e-14
"126",-2.08166817117217e-14
"127",0.289721988934335
"128",-2.08166817117217e-14
"129",-2.08166817117217e-14
"130",0.0218999982640747
"131",-2.08166817117217e-14
"132",-2.08166817117217e-14
"133",0.0933823453826447
"134",-2.08166817117217e-14
"135",-2.08166817117217e-14
"136",-2.08166817117217e-14
"137",0.000305665035055022
"138",-2.08166817117217e-14
"139",-2.08166817117217e-14
"140",0.035629899453347
"141",-2.08166817117217e-14
